Tamil	English	Domain
அந்த திரைப்படம் பாத்தீங்களா?	Did you watch that movie?	Conversation
நல்லா இருந்துச்சா?	Was it good?	Conversation
நான் கொஞ்சம் பிஸியா இருக்கேன்.	I am a little busy right now.	Conversation
அப்புறம் பேசலாமா?	Can we talk later?	Conversation
உங்க குடும்பம் எங்க இருக்கு?	Where does your family live?	Conversation
அம்மா கூட வந்திருக்காங்களா?	Has your mother come along?	Conversation
நாளைக்கு விடுமுறை இருக்கா?	Is there a holiday tomorrow?	Conversation
இன்னைக்கு ஞாயித்துக்கிழமை.	Today is Sunday.	Conversation
நேரம் போவதே தெரியல.	Time is passing by so fast.	Conversation
என்னோட கண்ணாடி எங்க வச்சேன்?	Where did I keep my glasses?	Conversation
மழை நிக்கல.	The rain hasn't stopped.	Conversation
குடை எடுத்துக்கிட்டு போ.	Take an umbrella with you.	Conversation
நான் கொஞ்சம் சோர்வா இருக்கேன்.	I am feeling a little tired.	Conversation
ஒரு கப் காபி குடிக்கலாம்.	Let's have a cup of coffee.	Conversation
நல்லா வந்தீங்க, உட்காருங்க.	Welcome, please sit down.	Conversation
இன்னைக்கு என்ன விசேஷம்?	What is special today?	Conversation
அவங்க திரும்பி வந்துட்டாங்களா?	Have they come back?	Conversation
நான் கொஞ்சம் வெளியே போயிட்டு வரேன்.	I will go out for a bit and come back.	Conversation
கதவை மூடிட்டு போ.	Close the door before you leave.	Conversation
சத்தம் கொஞ்சம் குறைங்க.	Please lower the noise a little.	Conversation
தொலைக்காட்சி பாக்கிறீங்களா?	Are you watching television?	Conversation
ரிமோட் எங்க?	Where is the remote?	Conversation
நேத்து என்ன நடந்துச்சு?	What happened yesterday?	Conversation
அது எனக்கு தெரியாது.	I don't know about that.	Conversation
நீங்க சொல்றது சரிதான்.	What you are saying is correct.	Conversation
நான் மறந்துட்டேன், மன்னிங்க.	I forgot, please forgive me.	Conversation
இது யாருடையது?	Whose is this?	Conversation
இது என்னுடையது.	This is mine.	Conversation
கொஞ்சம் உதவி பண்ண முடியுமா?	Can you help me a little?	Conversation
உங்களுக்கு என்ன வேணும்?	What do you need?	Conversation
இனிமேல் கவனமா இரு.	Be careful from now on.	Conversation
நான் இன்னைக்கு மகிழ்ச்சியா இருக்கேன்.	I am happy today.	Conversation
ஏன் அழுற?	Why are you crying?	Conversation
என்ன ஆச்சு?	What happened?	Conversation
பரவாயில்ல, சமாளிக்கலாம்.	It's okay, we can manage.	Conversation
நாளைக்கு பார்க்கலாம்.	We will see tomorrow.	Conversation
இது எனக்கு புரியல.	I don't understand this.	Conversation
இன்னொரு தடவை சொல்லுங்க.	Please say it one more time.	Conversation
மெதுவா பேசுங்க.	Please speak slowly.	Conversation
உங்க கூட வர முடியுமா?	Can I come with you?	Conversation
வாங்க, சேர்ந்து போகலாம்.	Come, let's go together.	Conversation
நான் காத்துட்டிருக்கேன்.	I am waiting.	Conversation
இன்னும் கொஞ்சம் நேரம் ஆகும்.	It will take a little more time.	Conversation
சரி, நான் கிளம்புறேன்.	Alright, I will leave now.	Conversation
வழியில பார்க்கலாம்.	We will meet on the way.	Conversation
என் தலை ரொம்ப வலிக்குது.	I have a severe headache.	Medical
காய்ச்சல் இரண்டு நாளா இருக்கு.	I have had fever for two days.	Medical
மருந்து சாப்பிட்டீங்களா?	Did you take the medicine?	Medical
இந்த மாத்திரை தினமும் சாப்பிடணும்.	You must take this tablet every day.	Medical
உங்களுக்கு சர்க்கரை வியாதி இருக்கா?	Do you have diabetes?	Medical
ரத்த அழுத்தம் கொஞ்சம் அதிகமா இருக்கு.	Your blood pressure is a little high.	Medical
டாக்டர் இப்போ இருக்காங்களா?	Is the doctor available now?	Medical
அப்பாயிண்ட்மெண்ட் வேணும்.	I need an appointment.	Medical
வயிறு வலிக்குது.	My stomach is hurting.	Medical
வாந்தி வருது மாதிரி இருக்கு.	I feel like vomiting.	Medical
இந்த மருந்தை சாப்பிட்டா தூக்கம் வருமா?	Will this medicine make me sleepy?	Medical
கண் எரிச்சல் இருக்கு.	I have a burning sensation in my eyes.	Medical
ஸ்கேன் எடுக்கணும்னு சொன்னாங்க.	They said I need to get a scan.	Medical
இந்த மருந்துக்கு பக்க விளைவு இருக்கா?	Does this medicine have side effects?	Medical
கை முறிஞ்சு போச்சு.	My hand is broken.	Medical
ஆஸ்பத்திரி எங்க இருக்கு?	Where is the hospital?	Medical
அவசர சிகிச்சை வேணும்.	I need emergency treatment.	Medical
காது கேக்கல.	I cannot hear properly.	Medical
மூச்சு திணறுது.	I am having difficulty breathing.	Medical
மருந்தகம் எங்க இருக்கு?	Where is the pharmacy?	Medical
என் கால் வீங்கிருக்கு.	My leg is swollen.	Medical
இரவுல வியர்வை ரொம்ப வருது.	I sweat a lot at night.	Medical
சிறுநீர் கழிக்கும்போது வலிக்குது.	It hurts when I urinate.	Medical
மூட்டு வலி ரொம்ப அதிகமா இருக்கு.	My joint pain is very severe.	Medical
நெஞ்சு வலிக்குது, பயமா இருக்கு.	My chest hurts, I am scared.	Medical
டாக்டர், என் குழந்தைக்கு காய்ச்சல் இருக்கு.	Doctor, my child has a fever.	Medical
இந்த மருந்தை சாப்பிட்ட அப்புறம் தலைசுத்துது.	I feel dizzy after taking this medicine.	Medical
ரத்த பரிசோதனை எங்க பண்றது?	Where do I get a blood test done?	Medical
உணவுக்கு முன்னாடி சாப்பிடணுமா, பின்னாடி சாப்பிடணுமா?	Should I take it before or after food?	Medical
என் உடல் எடை கூடிட்டே போகுது.	My body weight keeps increasing.	Medical
தோல் அலர்ஜி இருக்கு.	I have a skin allergy.	Medical
இஞ்செக்ஷன் போட வேண்டியிருக்குமா?	Will I need an injection?	Medical
ஆபரேஷன் தேவையா?	Is surgery necessary?	Medical
எத்தனை நாளைக்கு மருந்து சாப்பிடணும்?	For how many days should I take the medicine?	Medical
கண் பார்வை மங்கலா தெரியுது.	My vision is blurry.	Medical
காதுல சத்தம் வருது.	I hear ringing in my ears.	Medical
நான் கர்ப்பமா இருக்கேன்.	I am pregnant.	Medical
டெலிவரி எந்த மாசம்?	Which month is the delivery?	Medical
குழந்தைக்கு வேக்சின் போட வேணும்.	The child needs to be vaccinated.	Medical
இரண்டு நாளா சாப்பிட முடியல.	I haven't been able to eat for two days.	Medical
வாய்புண் இருக்கு.	I have mouth ulcers.	Medical
பல் வலிக்குது, டென்டிஸ்ட் பாக்கணும்.	My tooth hurts, I need to see a dentist.	Medical
சர்க்கரை அளவு கட்டுப்பாட்டுல இருக்கா?	Is the sugar level under control?	Medical
தினமும் உடற்பயிற்சி பண்றீங்களா?	Do you exercise every day?	Medical
நல்லா தூக்கம் வருதா?	Are you sleeping well?	Medical
மன அழுத்தம் ரொம்ப இருக்கு.	I am under a lot of stress.	Medical
மனநல மருத்துவர் கிட்ட போகணும்.	I need to see a psychiatrist.	Medical
அடிக்கடி தலைவலி வருது.	I get frequent headaches.	Medical
உடம்புல சோர்வு போகலை.	The fatigue in my body hasn't gone away.	Medical
இந்த மருந்தை குழந்தைகளுக்கு குடுக்கலாமா?	Can this medicine be given to children?	Medical
வாழைப்பழம் ஒரு டஜன் குடுங்க.	Give me one dozen bananas.	Market
தக்காளி கிலோ எவ்வளவு?	How much is one kilogram of tomatoes?	Market
இது ஃப்ரெஷ்ஷா இருக்கா?	Is this fresh?	Market
கொஞ்சம் கம்மி பண்ணுங்க.	Please reduce the price a little.	Market
இதுல வேற கலர் இருக்கா?	Is this available in another colour?	Market
இந்த துணி எவ்வளவு மீட்டர்?	How many metres is this cloth?	Market
கேஷ் மட்டும் தானா, கார்டு போகுமா?	Only cash, or do you accept card?	Market
பில் குடுங்க.	Please give me the bill.	Market
இது எங்க மேட்?	Where is this made?	Market
ரிட்டர்ன் பண்ண முடியுமா?	Can I return this?	Market
ஆஃபர் எப்போ முடியும்?	When does the offer end?	Market
இதுல கலப்படம் இருக்கா?	Is there any adulteration in this?	Market
ஒரு கிலோ வெங்காயம் வேணும்.	I need one kilogram of onions.	Market
பொட்டலம் கட்டி குடுங்க.	Please pack it for me.	Market
இந்த பொருள் எங்க கிடைக்கும்?	Where can I find this item?	Market
டிஸ்கவுண்ட் கொடுப்பீங்களா?	Will you give a discount?	Market
கடைசி விலை சொல்லுங்க.	Tell me your final price.	Market
இது பழசா இருக்கு, வேற குடுங்க.	This is old, please give me another one.	Market
தினமும் காலைல கடை திறக்குறீங்களா?	Do you open the shop every morning?	Market
மொத்தம் எவ்வளவு ஆச்சு?	What is the total amount?	Market
இந்த சட்டை சைஸ் சரியா வருதா?	Does this shirt fit properly?	Market
கொஞ்சம் பெரிய சைஸ் குடுங்க.	Please give me a slightly bigger size.	Market
இதுல வேற டிசைன் இருக்கா?	Do you have another design in this?	Market
இந்த கடை எத்தனை மணிக்கு மூடும்?	What time does this shop close?	Market
ஆன்லைனுல ஆர்டர் பண்ணலாம்.	We can order it online.	Market
டெலிவரி எத்தனை நாள் ஆகும்?	How many days will the delivery take?	Market
இலவசமா டெலிவரி கிடைக்குமா?	Is free delivery available?	Market
இந்த புரோடக்ட் வேரண்டி இருக்கா?	Does this product have a warranty?	Market
பழைய பொருள் திரும்ப குடுத்தா பண வசதி கிடைக்குமா?	Will I get money back if I return the old item?	Market
எக்ஸ்பயரி டேட் எப்போ?	What is the expiry date?	Market
இது ஆர்கானிக்கா?	Is this organic?	Market
கலோரி எவ்வளவு இருக்கு?	How many calories does this have?	Market
இந்த எண்ணெய் சமையலுக்கு நல்லதா?	Is this oil good for cooking?	Market
அரிசி எந்த வகை நல்லது?	Which variety of rice is good?	Market
பாசுமதி அரிசி இருக்கா?	Do you have basmati rice?	Market
தினசரி தேவைக்கு என்னென்ன வாங்கணும்?	What all do I need to buy for daily use?	Market
கடன் வாங்கி தர முடியுமா?	Can you give it on credit?	Market
நாளைக்கு பணம் குடுத்துடுவேன்.	I will pay the money tomorrow.	Market
சில்லரை இல்ல, நூறு ரூபா இருக்கா?	I don't have change, do you have a hundred rupees?	Market
UPI ல பே பண்ணலாமா?	Can I pay through UPI?	Market
QR கோட் காட்டுங்க.	Please show me the QR code.	Market
ரசீது வேணும்.	I need a receipt.	Market
இந்த கடையில நம்பகமான பொருள் கிடைக்குமா?	Will I get reliable products in this shop?	Market
இங்க மொத்த விலையில கிடைக்குமா?	Is it available here at wholesale price?	Market
அடுத்த வாரம் புது ஸ்டாக் வருமா?	Will new stock arrive next week?	Market
இந்த பண்டம் தீர்ந்துடுச்சா?	Is this item out of stock?	Market
வேற கடையில பாருங்க, அங்க கிடைக்கும்.	Check another shop, you will find it there.	Market
ஒரு கிலோ பருப்பு வேணும்.	I need one kilogram of lentils.	Market
காய்கறி வாங்க சந்தைக்கு போகலாம்.	Let's go to the market to buy vegetables.	Market
இந்த மீன் ஃப்ரெஷ்ஷா இருக்கா?	Is this fish fresh?	Market
நாளைக்கு பரீட்சை இருக்கு.	There is an exam tomorrow.	School
ஹோம்வொர்க் பண்ணிட்டீங்களா?	Have you done your homework?	School
மாஸ்டர் கிளாஸ்ல இல்லீங்க.	The teacher is not in class.	School
இந்த பாடம் புரியல.	I don't understand this lesson.	School
லைப்ரரில போய் புக் எடு.	Go to the library and get the book.	School
கல்லூரி சேர்க்கை எப்போ ஆரம்பிக்கும்?	When does college admission start?	School
ஃபீஸ் கட்ட லாஸ்ட் டேட் என்ன?	What is the last date to pay the fees?	School
இந்த சப்ஜெக்ட்ல பாஸ் மார்க் எவ்வளவு?	What is the pass mark for this subject?	School
நான் இன்னைக்கு லேட்டா வந்தேன், மன்னிக்கணும்.	I came late today, please excuse me.	School
சார், சந்தேகம் கேக்கலாமா?	Sir, may I ask a doubt?	School
ரிசல்ட் எப்போ வரும்?	When will the results come?	School
ஸ்கூல் பேக் ரெடி பண்ணிட்டியா?	Have you packed your school bag?	School
இன்னைக்கு ஸ்போர்ட்ஸ் டே.	Today is sports day.	School
புரோஜெக்ட் சப்மிட் பண்ண ஒரு வாரம் தான் இருக்கு.	There is only one week left to submit the project.	School
யூனிஃபார்ம் போட்டிருக்கியா?	Are you wearing your uniform?	School
க்லாஸ் லீடர் யாரு?	Who is the class leader?	School
இந்த பாடசாலையில் எத்தனை மாணவர்கள் படிக்கிறார்கள்?	How many students study in this school?	School
ஆன்லைன் கிளாஸ் இன்னைக்கு இருக்கா?	Is there an online class today?	School
நோட்ஸ் எழுதிட்டியா?	Have you written the notes?	School
அடுத்த பீரியட் என்ன?	What is the next period?	School
இன்னைக்கு கிளாஸ் கேன்சல் ஆச்சு.	Today's class has been cancelled.	School
சார் லீவுல இருக்காங்க.	The teacher is on leave.	School
கல்லூரி திறக்க எத்தனை நாள் இருக்கு?	How many days until college reopens?	School
சேர்க்கை படிவம் எங்க கிடைக்கும்?	Where will the admission form be available?	School
ஸ்காலர்ஷிப் கிடைக்குமா?	Will I get a scholarship?	School
இந்த கோர்ஸ் எத்தனை வருஷம்?	How many years is this course?	School
இன்டர்னெட் கனெக்ஷன் இல்லாம ஆன்லைன் கிளாஸ் பண்ண முடியல.	I cannot attend the online class without internet connection.	School
அசைன்மெண்ட் நாளைக்கு சப்மிட் பண்ணணும்.	The assignment must be submitted tomorrow.	School
கோப்பி அடிக்காதீங்க, அது தப்பு.	Don't copy, that is wrong.	School
லேப் வொர்க் இன்னைக்கு இருக்கு.	There is lab work today.	School
மார்க் கார்டு எப்போ கிடைக்கும்?	When will the mark sheet be available?	School
அவரு நல்லா பாடம் நடத்துவாரு.	He teaches the lesson very well.	School
இந்த பாடத்துல நான் பலவீனமா இருக்கேன்.	I am weak in this subject.	School
கூடுதல் வகுப்பு இருக்கா?	Are there extra classes?	School
நான் டாப்பர் ஆகணும்னு ஆசை இருக்கு.	I want to become a topper.	School
படிப்பை சீரியஸா எடுத்துக்கோ.	Take your studies seriously.	School
கண்டிப்பா நீ வெற்றி பெறுவே.	You will definitely succeed.	School
இந்த பல்கலைக்கழகம் மிகவும் புகழ்வாய்ந்தது.	This university is very reputed.	School
விண்ணப்பம் ஆன்லைனில் மட்டும் தான்.	The application is only online.	School
கட்-ஆஃப் மார்க் எவ்வளவு?	What is the cut-off mark?	School
காலேஜ் பஸ் வசதி இருக்கா?	Is there a college bus facility?	School
ஹாஸ்டல் வசதி கிடைக்குமா?	Is hostel accommodation available?	School
லைப்ரரி நாளைக்கு திறந்திருக்குமா?	Will the library be open tomorrow?	School
புக்கை லைப்ரரியில வாங்கி படி.	Borrow the book from the library and read it.	School
இந்த தேர்வு கஷ்டமா இருந்துச்சு.	This exam was difficult.	School
நான் நல்லா எழுதினேன்னு நம்பிக்கை இருக்கு.	I am confident that I wrote well.	School
கல்வி கட்டணம் கட்ட வங்கியில கடன் கிடைக்குமா?	Can I get a bank loan to pay the tuition fees?	School
அந்த ஆசிரியர் மாணவர்களிடம் அன்பாக இருக்கிறார்.	That teacher is kind to the students.	School
இன்னைக்கு பி.டி. பீரியட் இருக்கு.	There is a PT period today.	School
வகுப்பில் கவனமா கேளு.	Listen carefully in class.	School
பஸ் ஸ்டாப் எங்க இருக்கு?	Where is the bus stop?	Transport
டிரெயின் எத்தனை மணிக்கு கிளம்பும்?	What time does the train depart?	Transport
சென்னைக்கு டிக்கெட் எவ்வளவு?	How much is a ticket to Chennai?	Transport
இந்த பஸ் கோயம்புத்தூர் போகுமா?	Does this bus go to Coimbatore?	Transport
ஆட்டோல போகலாம், வாங்க.	Let's go by auto, come on.	Transport
மீட்டர் போட்டு போங்க.	Please go by the meter.	Transport
விமான நிலையம் எங்க இருக்கு?	Where is the airport?	Transport
எத்தனை நிறுத்தம் கழிச்சு இறங்கணும்?	How many stops later should I get off?	Transport
டிரெயின் தாமதமா வருதா?	Is the train running late?	Transport
இந்த ரோட்டுல ட்ராஃபிக் ரொம்ப இருக்கு.	There is heavy traffic on this road.	Transport
ஓலா/உபர் புக் பண்ணலாம்.	We can book an Ola/Uber.	Transport
பெட்டகம் வேன்ல ஏத்திட்டோம்.	We have loaded the luggage into the van.	Transport
ரிட்டர்ன் டிக்கெட் வேணும்.	I need a return ticket.	Transport
அடுத்த பஸ் எத்தனை மணிக்கு வரும்?	What time will the next bus come?	Transport
நான் தப்பான பஸ்ல ஏறிட்டேன்.	I got on the wrong bus.	Transport
பாதை மாறிடுச்சு, வேற வழி போகணும்.	The road is closed, we need to take another route.	Transport
டிரைவர் கிட்ட சொல்லுங்க, ஹாஸ்பிட்டல் கிட்ட நிறுத்துங்கன்னு.	Tell the driver to stop near the hospital.	Transport
கன்டக்டர் கிட்ட டிக்கெட் வாங்கிட்டியா?	Did you get the ticket from the conductor?	Transport
சைக்கிள் பாதையில போ.	Go on the cycle path.	Transport
பெட்ரோல் போட்டுக்கணும்.	I need to fill petrol.	Transport
இந்த ரோடு எங்க போகுது?	Where does this road go?	Transport
நேரடியா போற வழி இருக்கா?	Is there a direct route?	Transport
சுற்று வழியில போகணும்.	We have to go the long way around.	Transport
டோல் கேட்ல எவ்வளவு கட்டணும்?	How much do I need to pay at the toll gate?	Transport
நான் முதல் தடவையா இந்த ஊருக்கு வர்றேன்.	I am coming to this town for the first time.	Transport
கூகுள் மேப்ல பாருங்க.	Check on Google Maps.	Transport
இந்த தெரு சரியான தெருதானா?	Is this the correct street?	Transport
ரயில் நிலையம் இங்கிருந்து எவ்வளவு தூரம்?	How far is the railway station from here?	Transport
நடந்து போகலாம்.	We can walk there.	Transport
பைக்கில் வருறேன்.	I am coming by bike.	Transport
பார்க்கிங் வசதி இருக்கா?	Is there parking available?	Transport
வண்டி பார்க் பண்ண இடம் இல்ல.	There is no place to park the vehicle.	Transport
டயர் பஞ்சர் ஆயிடுச்சு.	The tyre has got punctured.	Transport
அருகில பஞ்சர் கடை இருக்கா?	Is there a puncture shop nearby?	Transport
பெட்ரோல் தீர்ந்துடுச்சு.	The petrol has run out.	Transport
அருகில பெட்ரோல் பங்க் இருக்கா?	Is there a petrol bunk nearby?	Transport
டீசல் வண்டியா, பெட்ரோல் வண்டியா?	Is it a diesel vehicle or a petrol vehicle?	Transport
இலவச பேருந்து சேவை இருக்கா?	Is there a free bus service?	Transport
மாற்றுத் திறனாளிகளுக்கு இருக்கை ஒதுக்கீடு இருக்கா?	Is there seat reservation for differently abled persons?	Transport
சீட் புக் பண்ணிட்டீங்களா?	Have you booked the seat?	Transport
வெயிட்டிங் லிஸ்ட்ல இருக்கு.	It is on the waiting list.	Transport
கன்ஃபர்ம் டிக்கெட் கிடைக்குமா?	Will I get a confirmed ticket?	Transport
தட்கல் போட்டா கிடைக்கும்.	It will be available under Tatkal.	Transport
விமான டிக்கெட் விலை ரொம்ப அதிகமா இருக்கு.	The flight ticket price is very high.	Transport
சீசன் டிக்கெட் எடுத்துக்கோ, மலிவா இருக்கும்.	Get a season ticket, it will be cheaper.	Transport
மெட்ரோ ரெயில் வசதியா இருக்கு.	The metro rail is convenient.	Transport
சரக்கு வண்டி வாடகைக்கு கிடைக்குமா?	Is a goods vehicle available for rent?	Transport
ஊர் விட்டு ஊர் போற பேருந்து எங்கிருந்து கிளம்பும்?	From where does the intercity bus depart?	Transport
கப்பல் பயணம் பண்ண விரும்புறேன்.	I want to travel by ship.	Transport
இந்த பயணம் சுமார் மூன்று மணி நேரம் ஆகும்.	This journey will take about three hours.	Transport
உங்களுக்கு எத்தனை வயசு?	How old are you?	Conversation
என்னோட வயசு இருபத்தி இரண்டு.	I am twenty two years old.	Conversation
நீங்க எங்க வேலை பாக்குறீங்க?	Where do you work?	Conversation
நான் ஒரு கம்பெனியில வேலை பாக்குறேன்.	I work at a company.	Conversation
சம்பளம் நல்லா கிடைக்குதா?	Is the salary good?	Conversation
கொஞ்சம் கொஞ்சமா உயருது.	It is increasing little by little.	Conversation
வீட்டுக்கு எப்போ வருவீங்க?	When will you come home?	Conversation
இரவு சாப்பாடு ரெடியா இருக்கு.	Dinner is ready.	Conversation
பசிக்குது, என்ன இருக்கு?	I am hungry, what is there to eat?	Conversation
சாம்பார் சாதம் பண்ணிருக்கேன்.	I have made sambar rice.	Conversation
தண்ணீர் குடிச்சியா?	Have you drunk water?	Conversation
கொஞ்சம் ஓய்வு எடுக்கணும்.	I need to take some rest.	Conversation
வெளியே போகலாம்னு இருக்கு.	I am thinking of going out.	Conversation
யாரையாவது சந்திக்கணுமா?	Do you need to meet someone?	Conversation
நண்பன் வருறான்னு சொன்னான்.	My friend said he is coming.	Conversation
எத்தனை நாளா பார்க்கலை?	How many days has it been since we met?	Conversation
ரொம்ப நாளாச்சு, மிஸ் பண்றேன்.	It has been a long time, I miss you.	Conversation
போன்ல பேசலாம்ல.	We can talk on the phone.	Conversation
நேரில பார்ப்பது வேற மாதிரி இருக்கு.	Meeting in person feels different.	Conversation
வீட்டுல யாராவது இருக்காங்களா?	Is anyone at home?	Conversation
எல்லாரும் வெளியே போயிருக்காங்க.	Everyone has gone out.	Conversation
நான் மட்டும் தான் இருக்கேன்.	I am the only one here.	Conversation
இரவுல தனியா இருக்கவே பயமா இருக்கு.	It is scary to be alone at night.	Conversation
விளக்கை போட்டுருக்கியா?	Have you switched on the light?	Conversation
தூங்குவதுக்கு முன்னாடி கதவை பூட்டு.	Lock the door before sleeping.	Conversation
நாளைக்கு அதிகாலையில எழணும்.	I have to wake up very early tomorrow.	Conversation
அலாரம் வச்சியா?	Have you set the alarm?	Conversation
ஆமா, ஆறு மணிக்கு வச்சிருக்கேன்.	Yes, I have set it for six o'clock.	Conversation
சரி, நல்லா தூங்கு.	Alright, sleep well.	Conversation
நீங்களும் நல்லா தூங்குங்க.	You sleep well too.	Conversation
உங்களுக்கு ஏதாவது உணவு ஒவ்வாமை இருக்கா?	Do you have any food allergy?	Medical
இரத்த சோகை இருக்குன்னு சொன்னாங்க.	They said I have anaemia.	Medical
தினமும் இரும்புச்சத்து மாத்திரை சாப்பிடணும்.	I need to take iron tablets every day.	Medical
காலையில எழுந்திருக்கவே கஷ்டமா இருக்கு.	It is very hard to get up in the morning.	Medical
என் முதுகு வலி தாங்கல.	My back pain is unbearable.	Medical
வலி நிவாரணி கொடுங்க.	Please give me a painkiller.	Medical
இந்த மருந்து வெறும் வயித்துல சாப்பிடலாமா?	Can I take this medicine on an empty stomach?	Medical
ஒரு நாளைக்கு எத்தனை தடவை சாப்பிடணும்?	How many times a day should I take it?	Medical
கொரோனா டெஸ்ட் எங்க பண்றது?	Where do I get a COVID test done?	Medical
காச நோய் சிகிச்சை இலவசமா கிடைக்குமா?	Is tuberculosis treatment available for free?	Medical
என் குழந்தை சரியா சாப்பிடல.	My child is not eating properly.	Medical
குழந்தைக்கு எடை குறைவா இருக்கு.	The child is underweight.	Medical
தாய்ப்பால் கொடுக்கணும்னு டாக்டர் சொன்னாங்க.	The doctor said I should breastfeed.	Medical
ஆறு மாசத்துக்கு முன்னாடி ஆபரேஷன் பண்ணாங்க.	The surgery was done six months ago.	Medical
வடு இன்னும் ஆறல.	The wound has not healed yet.	Medical
இந்த கிரீம் தடவுங்க, குணமாகும்.	Apply this cream, it will heal.	Medical
நீரிழிவு நோய் கட்டுப்பாட்டுல இருக்கா?	Is the diabetes under control?	Medical
உணவு கட்டுப்பாடு ரொம்ப முக்கியம்.	Diet control is very important.	Medical
கொழுப்பு அதிகமா இருக்கு, கவனிக்கணும்.	Cholesterol is high, need to be careful.	Medical
தினமும் வாக்கிங் போங்க.	Go for a walk every day.	Medical
புகைப்பிடிக்கிறது உடலுக்கு கேடு.	Smoking is harmful to the body.	Medical
மது அருந்துவதை நிறுத்துங்க.	Stop drinking alcohol.	Medical
தூக்கமின்மை ரொம்ப கஷ்டமா இருக்கு.	Lack of sleep is very troublesome.	Medical
மருத்துவமனையில சேர்க்கணுமா?	Do I need to be admitted to the hospital?	Medical
ICU தேவையில்ல, வார்டில் வச்சுக்கலாம்.	ICU is not needed, can be kept in the ward.	Medical
டிஸ்சார்ஜ் எப்போ கிடைக்கும்?	When will I be discharged?	Medical
மறுபடியும் வர வேண்டியிருக்குமா?	Will I need to come again?	Medical
ஃபாலோ-அப் அப்பாயிண்ட்மெண்ட் வேணும்.	I need a follow-up appointment.	Medical
மெடிக்கல் ரிப்போர்ட் கொஞ்சம் கொடுங்க.	Please give me the medical report.	Medical
ஆம்புலன்ஸ் கூப்பிட வேணும்.	I need to call an ambulance.	Medical
இந்த புடவை தரம் நல்லா இருக்கா?	Is the quality of this saree good?	Market
பட்டு புடவை எவ்வளவு?	How much is a silk saree?	Market
கல்யாண சீசனில விலை கூடும்.	Prices go up during wedding season.	Market
இதை கிஃப்ட் ராப் பண்ணி குடுங்க.	Please gift wrap this for me.	Market
இந்த பொருள் உடைஞ்சு வந்துச்சு.	This item came broken.	Market
எக்ஸ்சேஞ்ச் பண்ணி குடுங்க.	Please exchange this for me.	Market
